0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/image/products/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/jquery.slicknav.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/jquery.zoom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/cards.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/logo-light.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/arrow-up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/product/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/product/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/product/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/product/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/img/product/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:51 +0700] "GET /shoponline/resources/home/img/arrow-down.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:51 +0700] "GET /shoponline/resources/home/img/blog-thumbs/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:51 +0700] "GET /shoponline/resources/home/img/blog-thumbs/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:58 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:59 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:13 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:13 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/home/img/icons/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/home/img/icons/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/home/img/icons/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:17 +0700] "GET /shoponline/resources/image/products/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:18 +0700] "GET /shoponline/resources/home/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:18 +0700] "GET /shoponline/resources/home/img/bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:18 +0700] "GET /shoponline/resources/home/img/banner-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:18 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
